CommonName,Species,MassG,GSAcm2,Source,PublishedIntercept,PublishedSlope,GSAUnitsForPublishedCoefficientEstimation,MassUnitsForPublishedCoefficientEstimation,AspectRatio,HabitatType,LogMaxMassG
Pelagic Thresher,Alopias pelagicus,11820.9898,50209.531,Wootton et al 2015,12.508,0.8928,rawCM2,rawG,5.634866039,oceanic,5.106198
Pelagic Thresher,Alopias pelagicus,21162.0311,119845.611,Wootton et al 2015,12.508,0.8928,rawCM2,rawG,5.634866039,oceanic,5.106198
Pelagic Thresher,Alopias pelagicus,33609.0812,109059.126,Wootton et al 2015,12.508,0.8928,rawCM2,rawG,5.634866039,oceanic,5.106198
Pelagic Thresher,Alopias pelagicus,51222.9642,150207.855,Wootton et al 2015,12.508,0.8928,rawCM2,rawG,5.634866039,oceanic,5.106198
Pelagic Thresher,Alopias pelagicus,74048.89218,334981.658,Wootton et al 2015,12.508,0.8928,rawCM2,rawG,5.634866039,oceanic,5.106198
Pelagic Thresher,Alopias pelagicus,78160.57842,298918.938,Wootton et al 2015,12.508,0.8928,rawCM2,rawG,5.634866039,oceanic,5.106198
Bigeye Thresher,Alopias superciliosus,48826.67,194979.896,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,57674.46,229986.621,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,58226.23,250643.4,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,59340.45,321351.189,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,71285.3,380592.356,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,73854.4,290689.9,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,98264.13,342121.055,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,108370.04,457160.112,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,108370.04,486178.022,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Bigeye Thresher,Alopias superciliosus,127273,421505.016,Wootton et al 2015,52.168,0.7753,rawCM2,rawG,4.67433104,oceanic,5.560862695
Common Thresher Shark,Alopias vulpinus,7913.70954,24731.1499,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,10281.0145,44349.837,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,12449.6467,27713.59,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,14451.1959,43092.217,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,22654.1,90588.743,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,29826.3,113787.177,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,53237.13,183612.772,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,63925.6,213760.59,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,63925.6,218599.013,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,91471.0131,295459.5986,Wootton et al 2015,2.464,1.0299,rawCM2,rawG,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,59603.9,229710,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,63313.1,200532,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,94646.7,292183,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,104459,324665,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,121524,294274,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,145725,264710,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,151435,371641,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Common Thresher Shark,Alopias vulpinus,180253,371535,Emery and Sczcepanski 1985,3.4,0.41,logCM2,logG ,5.218674229,oceanic,5.541579244
Dusky Shark,Carcharhinus obscurus,21876.2,50155.5,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Dusky Shark,Carcharhinus obscurus,45297.6,77581.4,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Dusky Shark,Carcharhinus obscurus,49615.7,85559.8,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Dusky Shark,Carcharhinus obscurus,151355,270751,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Dusky Shark,Carcharhinus obscurus,176085,247264,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Dusky Shark,Carcharhinus obscurus,195805,264582,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Dusky Shark,Carcharhinus obscurus,217885,431884,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Dusky Shark,Carcharhinus obscurus,299496,434927,Emery and Sczcepanski 1985,0.79,0.88,logCM2,logG ,3.17827868,coastal,5.539703239
Sandbar Shark,Carcharhinus plumbeus,4200,9330.65,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,4900,10040.59,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,11700,26072.9,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,10500,22675.39,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,12500,25170.54,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,27700,58626.56,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,28700,46490.25,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,29500,53629.88,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,33100,66296.62,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,28100,56680.53,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,36300,61391.98,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,40400,81589.45,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,38600,80550.39,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,47600,78893.49,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,57500,152881.84,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,99800,230050.13,Hata 1993,5.321,0.99,logMM2,logKG,3.171188914,coastal,5.907088745
Sandbar Shark,Carcharhinus plumbeus,19076.2,34408,Emery and Sczcepanski 1985,1.39,0.74,logCM2,logG ,3.171188914,coastal,5.071513805
Sandbar Shark,Carcharhinus plumbeus,23592.6,44115.2,Emery and Sczcepanski 1985,1.39,0.74,logCM2,logG ,3.171188914,coastal,5.071513805
Sandbar Shark,Carcharhinus plumbeus,23955.4,47212.1,Emery and Sczcepanski 1985,1.39,0.74,logCM2,logG ,3.171188914,coastal,5.071513805
Sandbar Shark,Carcharhinus plumbeus,32437,51270.1,Emery and Sczcepanski 1985,1.39,0.74,logCM2,logG ,3.171188914,coastal,5.071513805
Sandbar Shark,Carcharhinus plumbeus,47411.9,86213.8,Emery and Sczcepanski 1985,1.39,0.74,logCM2,logG ,3.171188914,coastal,5.071513805
Sandbar Shark,Carcharhinus plumbeus,56010.1,87500.1,Emery and Sczcepanski 1985,1.39,0.74,logCM2,logG ,3.171188914,coastal,5.071513805
Sandbar Shark,Carcharhinus plumbeus,58612.1,85536.4,Emery and Sczcepanski 1985,1.39,0.74,logCM2,logG ,3.171188914,coastal,5.071513805
